"symbol","exchange","shortname"
"MCO","NYQ","Moody's Corporation"
"CXE","NYQ",NULL
"CEE","NYQ",NULL
"ATO","NYQ","Atmos Energy Corporation"
"CCO","NYQ","Clear Channel Outdoor Holdings,"
"ARCO","NYQ","Arcos Dorados Holdings Inc."
"GCO","NYQ","Genesco Inc."
"ASPCU","NCM","A SPAC III Acquisition Corp."
"AHCO","NCM","AdaptHealth Corp."
"BCO","NYQ","Brinks Company (The)"
"AIO","NYQ","AllianzGI Artificial Intelligen"
"AVO","NMS","Mission Produce, Inc."
"FCO","NYQ","17210"
"CAEN","PNK",NULL
"CLF","NYQ",NULL
"AGO","NYQ","Assured Guaranty Ltd."
"ALCO","NMS","Alico, Inc."
"DCO","NYQ","Ducommun Incorporated"
"JACO","OEM","JACO ELECTRONICS INC"
"EACO","PNK","EACO Corp."
"CRF","NYQ",NULL
"AXP","NYQ","American Express Company"
"AEP","NMS","American Electric Power Company"
"CP","NYQ","Canadian Pacific Kansas City Li"
"ADP","NMS","Automatic Data Processing, Inc."
"APP","NMS","Applovin Corporation"
"AMP","NYQ","Ameriprise Financial, Inc."
"AWP","NYQ","Aberdeen Global Premier Propert"
"NACP","PCX","Impact Shares Trust I Impact Sh"
"ABCP","PNK","AmBase Corp."
"AXCP","OEM","ALLIXON INTERNATIONAL CORPORATI"
"AQCP","OEM","AQ CORP"
"CEF","NYQ",NULL
"CIF","NYQ",NULL
"AGQ","PCX","ProShares Ultra Silver"
"TDAC","NGM","Trident Acquisitions Corp."
"DEEP","PCX","Acquirers Deep Value ETF"
"AIQ","NGM","Global X Artificial Intelligenc"
"TDACW","NGM","Trident Acquisitions Corp."
"PCQ","NYQ","PIMCO California Municipal Inco"
"CPF","NYQ",NULL
"SPAQ","NGM","Horizon Kinetics SPAC Active ET"
"NDEV","PNK","Novus Acquisition & Development"
"CCAJ","PNK","Coastal Capital Acquisition Cor"
"HAACU","NCM","Health Assurance Acquisition Co"
"CAS","PCX","Simplify Exchange Traded Funds "
"MLAC","NGM","Mountain Lake Acquisition Corp."
"HCARU","NCM","Healthcare Services Acquisition"
"CALF","BTS",NULL
"CAFS","OEM",NULL
"OHAQ","OEM","ORACLE HEALTHCARE ACQUISITION C"
"FACT","NGM","FACT II Acquisition Corp."
"TDACU","NGM","Translational Development Acqui"
"PUCKW","NCM","Goal Acquisitions Corp."
"ASPC","NCM","A SPAC III Acquisition Corp."
"MLACU","NGM","Mountain Lake Acquisition Corp."
"CNF","NYQ",NULL
"CNAF","OQX",NULL
"COFE","PNK",NULL
"MILC","OEM","Millennium Sustainable Ventures"
"NBST","OEM","Newbury Street Acquisition Corp"
"MAQCU","PNK","Maquia Capital Acquisition Corp"
"PUCK","PNK","Goal Acquisitions Corp."
"CVU","ASE","CPI Aerostructures, Inc."
"OCAX","PNK","OCA Acquisition Corp."
"OCAXW","NCM","OCA Acquisition Corp."
